Title,Slug,Difficulty,AcceptanceRate,Topics
"Divide Two Integers",divide-two-integers,MEDIUM,0.19713817217004284,"Math|Bit Manipulation"
"Next Permutation",next-permutation,MEDIUM,0.45154686614829276,"Array|Two Pointers"
"Search in Rotated Sorted Array",search-in-rotated-sorted-array,MEDIUM,0.44463674334646747,"Array|Binary Search"
"Find First and Last Position of Element in Sorted Array",find-first-and-last-position-of-element-in-sorted-array,MEDIUM,0.4878020164759,"Array|Binary Search"
"Search Insert Position",search-insert-position,EASY,0.5115634792925872,"Array|Binary Search"
"Valid Sudoku",valid-sudoku,MEDIUM,0.6445338384147383,"Array|Hash Table|Matrix"
"Sudoku Solver",sudoku-solver,HARD,0.6545259893726603,"Array|Hash Table|Backtracking|Matrix"
"Count and Say",count-and-say,MEDIUM,0.6277615269718977,"String"
"Combination Sum",combination-sum,MEDIUM,0.7645733929494017,"Array|Backtracking"
"Combination Sum II",combination-sum-ii,MEDIUM,0.593807015047788,"Array|Backtracking"
"First Missing Positive",first-missing-positive,HARD,0.42834770501957153,"Array|Hash Table"
"Trapping Rain Water",trapping-rain-water,HARD,0.6725671791076011,"Array|Two Pointers|Dynamic Programming|Stack|Monotonic Stack"
"Wildcard Matching",wildcard-matching,HARD,0.31866833198209055,"String|Dynamic Programming|Greedy|Recursion"
"Jump Game II",jump-game-ii,MEDIUM,0.42787211519630786,"Array|Dynamic Programming|Greedy"
"Permutations",permutations,MEDIUM,0.8187299679114727,"Array|Backtracking"
"Permutations II",permutations-ii,MEDIUM,0.6336258862632878,"Array|Backtracking|Sorting"
"Rotate Image",rotate-image,MEDIUM,0.7964828086389022,"Array|Math|Matrix"
"Pow(x, n)",powx-n,MEDIUM,0.3859576986965546,"Math|Recursion"
"N-Queens",n-queens,HARD,0.7543551591064249,"Array|Backtracking"
"Maximum Subarray",maximum-subarray,MEDIUM,0.5325420674787806,"Array|Divide and Conquer|Dynamic Programming"
"Spiral Matrix",spiral-matrix,MEDIUM,0.5666075968140307,"Array|Matrix|Simulation"
"Jump Game",jump-game,MEDIUM,0.40809297863224697,"Array|Dynamic Programming|Greedy"
"Merge Intervals",merge-intervals,MEDIUM,0.5169637848226104,"Array|Sorting"
"Insert Interval",insert-interval,MEDIUM,0.4512456259200212,"Array"
"Permutation Sequence",permutation-sequence,HARD,0.5294380336864345,"Math|Recursion"
"Rotate List",rotate-list,MEDIUM,0.41682179520136875,"Linked List|Two Pointers"
"Unique Paths",unique-paths,MEDIUM,0.6678939430560484,"Math|Dynamic Programming|Combinatorics"
"Unique Paths II",unique-paths-ii,MEDIUM,0.44420443471612114,"Array|Dynamic Programming|Matrix"
"Minimum Path Sum",minimum-path-sum,MEDIUM,0.6815298961054581,"Array|Dynamic Programming|Matrix"
"Sqrt(x)",sqrtx,EASY,0.4174227014446603,"Math|Binary Search"
"Climbing Stairs",climbing-stairs,EASY,0.5405285023375479,"Math|Dynamic Programming|Memoization"
"Simplify Path",simplify-path,MEDIUM,0.504894313845136,"String|Stack"
"Edit Distance",edit-distance,MEDIUM,0.6050267024811715,"String|Dynamic Programming"
"Set Matrix Zeroes",set-matrix-zeroes,MEDIUM,0.6280695198985018,"Array|Hash Table|Matrix"
"Search a 2D Matrix",search-a-2d-matrix,MEDIUM,0.5386071163877749,"Array|Binary Search|Matrix"
"Sort Colors",sort-colors,MEDIUM,0.695281244788123,"Array|Two Pointers|Sorting"
"Minimum Window Substring",minimum-window-substring,HARD,0.47418457555135146,"Hash Table|String|Sliding Window"
"Combinations",combinations,MEDIUM,0.7451576717495844,"Backtracking"
"Subsets",subsets,MEDIUM,0.8228278499976007,"Array|Backtracking|Bit Manipulation"
"Word Search",word-search,MEDIUM,0.4727164375141315,"Array|String|Backtracking|Depth-First Search|Matrix"
"Search in Rotated Sorted Array II",search-in-rotated-sorted-array-ii,MEDIUM,0.39990622518510655,"Array|Binary Search"
"Remove Duplicates from Sorted List",remove-duplicates-from-sorted-list,EASY,0.5665384091772174,"Linked List"
"Largest Rectangle in Histogram",largest-rectangle-in-histogram,HARD,0.4978118651929813,"Array|Stack|Monotonic Stack"
"Maximal Rectangle",maximal-rectangle,HARD,0.5863447489283751,"Array|Dynamic Programming|Stack|Matrix|Monotonic Stack"
"Scramble String",scramble-string,HARD,0.44473693091694516,"String|Dynamic Programming"
"Merge Sorted Array",merge-sorted-array,EASY,0.5475764991844239,"Array|Two Pointers|Sorting"
"Subsets II",subsets-ii,MEDIUM,0.6122120669830245,"Array|Backtracking|Bit Manipulation"
"Binary Tree Inorder Traversal",binary-tree-inorder-traversal,EASY,0.8000644055561679,"Stack|Tree|Depth-First Search|Binary Tree"
"Unique Binary Search Trees II",unique-binary-search-trees-ii,MEDIUM,0.6239210811123899,"Dynamic Programming|Backtracking|Tree|Binary Search Tree|Binary Tree"
"Unique Binary Search Trees",unique-binary-search-trees,MEDIUM,0.6365214887590932,"Math|Dynamic Programming|Tree|Binary Search Tree|Binary Tree"
"Interleaving String",interleaving-string,MEDIUM,0.43922740548447836,"String|Dynamic Programming"
"Validate Binary Search Tree",validate-binary-search-tree,MEDIUM,0.35685467313624614,"Tree|Depth-First Search|Binary Search Tree|Binary Tree"
"Recover Binary Search Tree",recover-binary-search-tree,MEDIUM,0.5950749353820669,"Tree|Depth-First Search|Binary Search Tree|Binary Tree"
"Same Tree",same-tree,EASY,0.6704070305363853,"Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Symmetric Tree",symmetric-tree,EASY,0.6112155066418331,"Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Binary Tree Level Order Traversal",binary-tree-level-order-traversal,MEDIUM,0.7258254991080009,"Tree|Breadth-First Search|Binary Tree"
"Binary Tree Zigzag Level Order Traversal",binary-tree-zigzag-level-order-traversal,MEDIUM,0.6360841342363092,"Tree|Breadth-First Search|Binary Tree"
"Maximum Depth of Binary Tree",maximum-depth-of-binary-tree,EASY,0.7812792006856362,"Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Construct Binary Tree from Preorder and Inorder Traversal",construct-binary-tree-from-preorder-and-inorder-traversal,MEDIUM,0.6874878042135384,"Array|Hash Table|Divide and Conquer|Tree|Binary Tree"
"Convert Sorted Array to Binary Search Tree",convert-sorted-array-to-binary-search-tree,EASY,0.7549887102435549,"Array|Divide and Conquer|Tree|Binary Search Tree|Binary Tree"
"Convert Sorted List to Binary Search Tree",convert-sorted-list-to-binary-search-tree,MEDIUM,0.6648859334288629,"Linked List|Divide and Conquer|Tree|Binary Search Tree|Binary Tree"
"Balanced Binary Tree",balanced-binary-tree,EASY,0.5826884896523766,"Tree|Depth-First Search|Binary Tree"
"Flatten Binary Tree to Linked List",flatten-binary-tree-to-linked-list,MEDIUM,0.706479071133618,"Linked List|Stack|Tree|Depth-First Search|Binary Tree"
"Distinct Subsequences",distinct-subsequences,HARD,0.5180846509182409,"String|Dynamic Programming"
"Populating Next Right Pointers in Each Node",populating-next-right-pointers-in-each-node,MEDIUM,0.6712850494496891,"Linked List|Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Pascal's Triangle",pascals-triangle,EASY,0.7887688075030639,"Array|Dynamic Programming"
"Triangle",triangle,MEDIUM,0.5989509689809426,"Array|Dynamic Programming"
"Best Time to Buy and Sell Stock",best-time-to-buy-and-sell-stock,EASY,0.5670808278842197,"Array|Dynamic Programming"
"Best Time to Buy and Sell Stock II",best-time-to-buy-and-sell-stock-ii,MEDIUM,0.7101533403672375,"Array|Dynamic Programming|Greedy"
"Best Time to Buy and Sell Stock III",best-time-to-buy-and-sell-stock-iii,HARD,0.5359807028616703,"Array|Dynamic Programming"
"Binary Tree Maximum Path Sum",binary-tree-maximum-path-sum,HARD,0.4225909157308175,"Dynamic Programming|Tree|Depth-First Search|Binary Tree"
"Word Ladder II",word-ladder-ii,HARD,0.27660157481634023,"Hash Table|String|Backtracking|Breadth-First Search"
"Word Ladder",word-ladder,HARD,0.4542366229415969,"Hash Table|String|Breadth-First Search"
"Longest Consecutive Sequence",longest-consecutive-sequence,MEDIUM,0.47081115996273293,"Array|Hash Table|Union-Find"
"Surrounded Regions",surrounded-regions,MEDIUM,0.45192743040678723,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix"
"Palindrome Partitioning",palindrome-partitioning,MEDIUM,0.7398015216562699,"String|Dynamic Programming|Backtracking"
"Palindrome Partitioning II",palindrome-partitioning-ii,HARD,0.3697272443960669,"String|Dynamic Programming"
"Clone Graph",clone-graph,MEDIUM,0.6518745233818847,"Hash Table|Depth-First Search|Breadth-First Search|Graph Theory"
"Candy",candy,HARD,0.4837395187010728,"Array|Greedy"
"Single Number",single-number,EASY,0.7761762540553498,"Array|Bit Manipulation"
"Single Number II",single-number-ii,MEDIUM,0.6701697972924522,"Array|Bit Manipulation"
"Copy List with Random Pointer",copy-list-with-random-pointer,MEDIUM,0.6279108122659741,"Hash Table|Linked List"
"Word Break",word-break,MEDIUM,0.4939248636493867,"Array|Hash Table|String|Dynamic Programming|Trie|Memoization"
"Word Break II",word-break-ii,HARD,0.5546620613586382,"Array|Hash Table|String|Dynamic Programming|Backtracking|Trie|Memoization"
"Linked List Cycle",linked-list-cycle,EASY,0.5424198657545,"Hash Table|Linked List|Two Pointers"
"Linked List Cycle II",linked-list-cycle-ii,MEDIUM,0.5778447775600843,"Hash Table|Linked List|Two Pointers"
"Binary Tree Preorder Traversal",binary-tree-preorder-traversal,EASY,0.7564260646874703,"Stack|Tree|Depth-First Search|Binary Tree"
"Binary Tree Postorder Traversal",binary-tree-postorder-traversal,EASY,0.780420002793775,"Stack|Tree|Depth-First Search|Binary Tree"
"LRU Cache",lru-cache,MEDIUM,0.4725567527413987,"Hash Table|Linked List|Design|Doubly-Linked List"
"Evaluate Reverse Polish Notation",evaluate-reverse-polish-notation,MEDIUM,0.5762897852886988,"Array|Math|Stack"
"Reverse Words in a String",reverse-words-in-a-string,MEDIUM,0.5622722952190369,"Two Pointers|String"
"Maximum Product Subarray",maximum-product-subarray,MEDIUM,0.3632858907299222,"Array|Dynamic Programming"
"Find Minimum in Rotated Sorted Array",find-minimum-in-rotated-sorted-array,MEDIUM,0.5410823400929687,"Array|Binary Search"
"Min Stack",min-stack,MEDIUM,0.5807282301043899,"Stack|Design"
"Intersection of Two Linked Lists",intersection-of-two-linked-lists,EASY,0.6363167337454345,"Hash Table|Linked List|Two Pointers"
"Find Peak Element",find-peak-element,MEDIUM,0.46929326723190323,"Array|Binary Search"
"Compare Version Numbers",compare-version-numbers,MEDIUM,0.4635830762102337,"Two Pointers|String"
"Majority Element",majority-element,EASY,0.6626012465275936,"Array|Hash Table|Divide and Conquer|Sorting|Counting"
"Binary Search Tree Iterator",binary-search-tree-iterator,MEDIUM,0.7639668284117738,"Stack|Tree|Design|Binary Search Tree|Binary Tree|Iterator"
"Dungeon Game",dungeon-game,HARD,0.412660560254843,"Array|Dynamic Programming|Matrix"
"Second Highest Salary",second-highest-salary,MEDIUM,0.4689612128030574,"Database"
"Consecutive Numbers",consecutive-numbers,MEDIUM,0.4828568530004108,"Database"
"Department Top Three Salaries",department-top-three-salaries,HARD,0.6035641639942896,"Database"
"Best Time to Buy and Sell Stock IV",best-time-to-buy-and-sell-stock-iv,HARD,0.5001187980433264,"Array|Dynamic Programming"
"Rotate Array",rotate-array,MEDIUM,0.44811023613051676,"Array|Math|Two Pointers"
"Delete Duplicate Emails",delete-duplicate-emails,EASY,0.6592705720582521,"Database"
"Rising Temperature",rising-temperature,EASY,0.5124378841599474,"Database"
"House Robber",house-robber,MEDIUM,0.531712812508342,"Array|Dynamic Programming"
"Binary Tree Right Side View",binary-tree-right-side-view,MEDIUM,0.7007727964585976,"Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Number of Islands",number-of-islands,MEDIUM,0.6427659851139981,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix"
"Count Primes",count-primes,MEDIUM,0.35994633045422725,"Array|Math|Enumeration|Number Theory"
"Isomorphic Strings",isomorphic-strings,EASY,0.48322369053329,"Hash Table|String"
"Reverse Linked List",reverse-linked-list,EASY,0.8049532495289562,"Linked List|Recursion"
"Course Schedule",course-schedule,MEDIUM,0.5130144789625084,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Implement Trie (Prefix Tree)",implement-trie-prefix-tree,MEDIUM,0.6943744824302704,"Hash Table|String|Design|Trie"
"Minimum Size Subarray Sum",minimum-size-subarray-sum,MEDIUM,0.5155674259471303,"Array|Binary Search|Sliding Window|Prefix Sum"
"Course Schedule II",course-schedule-ii,MEDIUM,0.5540395168072283,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Design Add and Search Words Data Structure",design-add-and-search-words-data-structure,MEDIUM,0.4842158904013718,"String|Depth-First Search|Design|Trie"
"House Robber II",house-robber-ii,MEDIUM,0.4485634943385409,"Array|Dynamic Programming"
"Kth Largest Element in an Array",kth-largest-element-in-an-array,MEDIUM,0.6888797234736049,"Array|Divide and Conquer|Sorting|Heap (Priority Queue)|Quickselect"
"Combination Sum III",combination-sum-iii,MEDIUM,0.7317421607552297,"Array|Backtracking"
"Maximal Square",maximal-square,MEDIUM,0.5026863784998812,"Array|Dynamic Programming|Matrix"
"Count Complete Tree Nodes",count-complete-tree-nodes,EASY,0.7249941171370893,"Binary Search|Bit Manipulation|Tree|Binary Tree"
"Basic Calculator",basic-calculator,HARD,0.46831040402732255,"Math|String|Stack|Recursion"
"Implement Stack using Queues",implement-stack-using-queues,EASY,0.6981452654247639,"Stack|Design|Queue"
"Majority Element II",majority-element-ii,MEDIUM,0.5608337601813848,"Array|Hash Table|Sorting|Counting"
"Kth Smallest Element in a BST",kth-smallest-element-in-a-bst,MEDIUM,0.7675493744493873,"Tree|Depth-First Search|Binary Search Tree|Binary Tree"
"Power of Two",power-of-two,EASY,0.5006728559655804,"Math|Bit Manipulation|Recursion"
"Implement Queue using Stacks",implement-queue-using-stacks,EASY,0.6971718130928382,"Stack|Design|Queue"
"Number of Digit One",number-of-digit-one,HARD,0.3857422575511624,"Math|Dynamic Programming|Recursion"
"Palindrome Linked List",palindrome-linked-list,EASY,0.5786583344979735,"Linked List|Two Pointers|Stack|Recursion"
"Lowest Common Ancestor of a Binary Search Tree",lowest-common-ancestor-of-a-binary-search-tree,MEDIUM,0.7049866964636036,"Tree|Depth-First Search|Binary Search Tree|Binary Tree"
"Lowest Common Ancestor of a Binary Tree",lowest-common-ancestor-of-a-binary-tree,MEDIUM,0.6919976687311893,"Tree|Depth-First Search|Binary Tree"
"Delete Node in a Linked List",delete-node-in-a-linked-list,MEDIUM,0.8381121066629994,"Linked List"
"Sliding Window Maximum",sliding-window-maximum,HARD,0.4870462874543432,"Array|Queue|Sliding Window|Heap (Priority Queue)|Monotonic Queue"
"Search a 2D Matrix II",search-a-2d-matrix-ii,MEDIUM,0.5719422198737751,"Array|Binary Search|Divide and Conquer|Matrix"
"Different Ways to Add Parentheses",different-ways-to-add-parentheses,MEDIUM,0.7323619291407745,"Math|String|Dynamic Programming|Recursion|Memoization"
"Valid Anagram",valid-anagram,EASY,0.6803464468013455,"Hash Table|String|Sorting"
"Binary Tree Paths",binary-tree-paths,EASY,0.6857332113765202,"String|Backtracking|Tree|Depth-First Search|Binary Tree"
"Single Number III",single-number-iii,MEDIUM,0.7031697892271663,"Array|Bit Manipulation"
"Ugly Number",ugly-number,EASY,0.4347858989860994,"Math"
"Ugly Number II",ugly-number-ii,MEDIUM,0.4959310878179962,"Hash Table|Math|Dynamic Programming|Heap (Priority Queue)"
"Missing Number",missing-number,EASY,0.7192966482629986,"Array|Hash Table|Math|Binary Search|Bit Manipulation|Sorting"
"Integer to English Words",integer-to-english-words,HARD,0.3499482856312001,"Math|String|Recursion"
"Perfect Squares",perfect-squares,MEDIUM,0.5648406044748224,"Math|Dynamic Programming|Breadth-First Search"
"Expression Add Operators",expression-add-operators,HARD,0.4308747725068384,"Math|String|Backtracking"
"Move Zeroes",move-zeroes,EASY,0.6378977222701991,"Array|Two Pointers"
"Find the Duplicate Number",find-the-duplicate-number,MEDIUM,0.6426253993925438,"Array|Two Pointers|Binary Search|Bit Manipulation"
"Find Median from Data Stream",find-median-from-data-stream,HARD,0.5440750907626031,"Two Pointers|Design|Sorting|Heap (Priority Queue)|Data Stream"
"Serialize and Deserialize Binary Tree",serialize-and-deserialize-binary-tree,HARD,0.6067007174135466,"String|Tree|Depth-First Search|Breadth-First Search|Design|Binary Tree"
"Longest Increasing Subsequence",longest-increasing-subsequence,MEDIUM,0.5933875147824774,"Array|Binary Search|Dynamic Programming"
"Range Sum Query - Mutable",range-sum-query-mutable,MEDIUM,0.4298304406912717,"Array|Divide and Conquer|Design|Binary Indexed Tree|Segment Tree"
"Best Time to Buy and Sell Stock with Cooldown",best-time-to-buy-and-sell-stock-with-cooldown,MEDIUM,0.6199184592320419,"Array|Dynamic Programming"
"Minimum Height Trees",minimum-height-trees,MEDIUM,0.42521385492558444,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Burst Balloons",burst-balloons,HARD,0.6335954489831179,"Array|Dynamic Programming"
"Remove Duplicate Letters",remove-duplicate-letters,MEDIUM,0.5315305157186722,"String|Stack|Greedy|Monotonic Stack"
"Maximum Product of Word Lengths",maximum-product-of-word-lengths,MEDIUM,0.6119599272811665,"Array|String|Bit Manipulation"
"Bulb Switcher",bulb-switcher,MEDIUM,0.5581485294678411,"Math|Brainteaser"
"Coin Change",coin-change,MEDIUM,0.4831845063254809,"Array|Dynamic Programming|Breadth-First Search"
"Power of Three",power-of-three,EASY,0.5101584596784433,"Math|Recursion"
"Odd Even Linked List",odd-even-linked-list,MEDIUM,0.6250173490776126,"Linked List"
"Longest Increasing Path in a Matrix",longest-increasing-path-in-a-matrix,HARD,0.5656789495789032,"Array|Dynamic Programming|Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort|Memoization|Matrix"
"Reconstruct Itinerary",reconstruct-itinerary,HARD,0.4449895731054586,"Array|String|Depth-First Search|Graph Theory|Sorting|Heap (Priority Queue)|Eulerian Circuit"
"Flatten Nested List Iterator",flatten-nested-list-iterator,MEDIUM,0.6567405228494476,"Stack|Tree|Depth-First Search|Design|Queue|Iterator"
"Power of Four",power-of-four,EASY,0.5198785302041247,"Math|Bit Manipulation|Recursion"
"Integer Break",integer-break,MEDIUM,0.6225668365082664,"Math|Dynamic Programming"
"Reverse String",reverse-string,EASY,0.8074408752089426,"Two Pointers|String"
"Top K Frequent Elements",top-k-frequent-elements,MEDIUM,0.663218210767474,"Array|Hash Table|Divide and Conquer|Sorting|Heap (Priority Queue)|Bucket Sort|Counting|Quickselect"
"Design Twitter",design-twitter,MEDIUM,0.4457802785077358,"Hash Table|Linked List|Design|Heap (Priority Queue)"
"Largest Divisible Subset",largest-divisible-subset,MEDIUM,0.4961226241085784,"Array|Math|Dynamic Programming|Sorting"
"Guess Number Higher or Lower II",guess-number-higher-or-lower-ii,MEDIUM,0.5271528571240954,"Math|Dynamic Programming|Game Theory"
"Combination Sum IV",combination-sum-iv,MEDIUM,0.5509471841345632,"Array|Dynamic Programming"
"Insert Delete GetRandom O(1)",insert-delete-getrandom-o1,MEDIUM,0.5534779669210793,"Array|Hash Table|Math|Design|Randomized"
"Linked List Random Node",linked-list-random-node,MEDIUM,0.6478483869886358,"Linked List|Math|Reservoir Sampling|Randomized"
"Lexicographical Numbers",lexicographical-numbers,MEDIUM,0.7622333144366246,"Depth-First Search|Trie"
"Evaluate Division",evaluate-division,MEDIUM,0.6415159802994119,"Array|String|Depth-First Search|Breadth-First Search|Union-Find|Graph Theory|Shortest Path"
"Binary Watch",binary-watch,EASY,0.6544591229672769,"Backtracking|Bit Manipulation"
"Remove K Digits",remove-k-digits,MEDIUM,0.3675254768329597,"String|Stack|Greedy|Monotonic Stack"
"Frog Jump",frog-jump,HARD,0.47262114488325935,"Array|Dynamic Programming"
"Trapping Rain Water II",trapping-rain-water-ii,HARD,0.6407583143130746,"Array|Breadth-First Search|Heap (Priority Queue)|Matrix"
"Split Array Largest Sum",split-array-largest-sum,HARD,0.6032651560469875,"Array|Binary Search|Dynamic Programming|Greedy|Prefix Sum"
"Partition Equal Subset Sum",partition-equal-subset-sum,MEDIUM,0.49426881568250564,"Array|Dynamic Programming"
"Maximum XOR of Two Numbers in an Array",maximum-xor-of-two-numbers-in-an-array,MEDIUM,0.5341048309260137,"Array|Hash Table|Bit Manipulation|Trie"
"Longest Repeating Character Replacement",longest-repeating-character-replacement,MEDIUM,0.5952075512256539,"Hash Table|String|Sliding Window"
"All O`one Data Structure",all-oone-data-structure,HARD,0.44243544815427943,"Hash Table|Linked List|Design|Doubly-Linked List"
"Minimum Genetic Mutation",minimum-genetic-mutation,MEDIUM,0.5658076419954459,"Hash Table|String|Breadth-First Search"
"Non-overlapping Intervals",non-overlapping-intervals,MEDIUM,0.5704116217298376,"Array|Dynamic Programming|Greedy|Sorting"
"Path Sum III",path-sum-iii,MEDIUM,0.46393925747671555,"Tree|Depth-First Search|Binary Tree"
"Find All Anagrams in a String",find-all-anagrams-in-a-string,MEDIUM,0.53660334042748,"Hash Table|String|Sliding Window"
"K-th Smallest in Lexicographical Order",k-th-smallest-in-lexicographical-order,HARD,0.46306989595192655,"Trie"
"Find All Duplicates in an Array",find-all-duplicates-in-an-array,MEDIUM,0.769197710390308,"Array|Hash Table|Sorting"
"Arithmetic Slices II - Subsequence",arithmetic-slices-ii-subsequence,HARD,0.5503874206072026,"Array|Dynamic Programming"
"Delete Node in a BST",delete-node-in-a-bst,MEDIUM,0.5458412527161173,"Tree|Binary Search Tree|Binary Tree"
"Assign Cookies",assign-cookies,EASY,0.5489782962068942,"Array|Two Pointers|Greedy|Sorting"
"132 Pattern",132-pattern,MEDIUM,0.3471242825348483,"Array|Binary Search|Stack|Monotonic Stack|Ordered Set"
"LFU Cache",lfu-cache,HARD,0.49096377408856595,"Hash Table|Linked List|Design|Doubly-Linked List"
"Max Consecutive Ones",max-consecutive-ones,EASY,0.6503371607913977,"Array"
"Predict the Winner",predict-the-winner,MEDIUM,0.5620246964999152,"Array|Math|Dynamic Programming|Recursion|Game Theory"
"Non-decreasing Subsequences",non-decreasing-subsequences,MEDIUM,0.6264492065000475,"Array|Hash Table|Backtracking|Bit Manipulation"
"Reverse Pairs",reverse-pairs,HARD,0.34123191855983315,"Array|Binary Search|Divide and Conquer|Binary Indexed Tree|Segment Tree|Merge Sort|Ordered Set"
"Target Sum",target-sum,MEDIUM,0.5215051077033064,"Array|Dynamic Programming|Backtracking"
"Next Greater Element I",next-greater-element-i,EASY,0.76069309051955,"Array|Hash Table|Stack|Monotonic Stack"
"Diagonal Traverse",diagonal-traverse,MEDIUM,0.6713183068620779,"Array|Matrix|Simulation"
"Next Greater Element II",next-greater-element-ii,MEDIUM,0.6827881155020382,"Array|Stack|Monotonic Stack"
"Longest Palindromic Subsequence",longest-palindromic-subsequence,MEDIUM,0.6533632386920719,"String|Dynamic Programming"
"Coin Change II",coin-change-ii,MEDIUM,0.6012357665108474,"Array|Dynamic Programming"
"Single Element in a Sorted Array",single-element-in-a-sorted-array,MEDIUM,0.5927101767093301,"Array|Binary Search"
"01 Matrix",01-matrix,MEDIUM,0.5377201210576312,"Array|Dynamic Programming|Breadth-First Search|Matrix"
"Diameter of Binary Tree",diameter-of-binary-tree,EASY,0.6544577519668481,"Tree|Depth-First Search|Binary Tree"
"Number of Provinces",number-of-provinces,MEDIUM,0.7031555555964176,"Depth-First Search|Breadth-First Search|Union-Find|Graph Theory"
"Subarray Sum Equals K",subarray-sum-equals-k,MEDIUM,0.47232297465553563,"Array|Hash Table|Prefix Sum"
"Managers with at Least 5 Direct Reports",managers-with-at-least-5-direct-reports,MEDIUM,0.4902782471212753,"Database"
"Employee Bonus",employee-bonus,EASY,0.77379716937001,"Database"
"Delete Operation for Two Strings",delete-operation-for-two-strings,MEDIUM,0.6551506274467743,"String|Dynamic Programming"
"Find Customer Referee",find-customer-referee,EASY,0.7279745402047538,"Database"
"Investments in 2016",investments-in-2016,MEDIUM,0.5102910872971433,"Database"
"Longest Harmonious Subsequence",longest-harmonious-subsequence,EASY,0.6462627983497853,"Array|Hash Table|Sliding Window|Sorting|Counting"
"Big Countries",big-countries,EASY,0.6846603211274791,"Database"
"Classes With at Least 5 Students",classes-with-at-least-5-students,EASY,0.6370390373428519,"Database"
"Friend Requests II: Who Has the Most Friends",friend-requests-ii-who-has-the-most-friends,MEDIUM,0.6262291139448067,"Database"
"Construct String from Binary Tree",construct-string-from-binary-tree,MEDIUM,0.7068968939956406,"String|Tree|Depth-First Search|Binary Tree"
"Triangle Judgement",triangle-judgement,EASY,0.7472935936964714,"Database"
"Biggest Single Number",biggest-single-number,EASY,0.71227641344893,"Database"
"Not Boring Movies",not-boring-movies,EASY,0.7509578544061303,"Database"
"Task Scheduler",task-scheduler,MEDIUM,0.629997534947191,"Array|Hash Table|Greedy|Sorting|Heap (Priority Queue)|Counting"
"Exchange Seats",exchange-seats,MEDIUM,0.7408601888615529,"Database"
"Smallest Range Covering Elements from K Lists",smallest-range-covering-elements-from-k-lists,HARD,0.7012941457229361,"Array|Hash Table|Greedy|Sliding Window|Sorting|Heap (Priority Queue)"
"Design Circular Deque",design-circular-deque,MEDIUM,0.6470070339497341,"Array|Linked List|Design|Queue"
"Maximum Length of Pair Chain",maximum-length-of-pair-chain,MEDIUM,0.6171316408391344,"Array|Dynamic Programming|Greedy|Sorting"
